Department for Culture, Media and Sport
Electricity - kWh
"**Please note: empty cells representing half-hourly consumption mean that there is no data available for that time; numbers followed by an 'E' are unreliable numbers"

Site Name,Utility,Unit,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,Total
Cockspur Street,Electricity,kWh,2010-07-16,75,60,70,65,75,65,70,70,70,75,65,165,130,115,135,135,145,160,175,180,185,190,190,185,185,190,195,195,200,195,195,195,195,200,190,180,155,120,110,110,105,95,95,90,90,80,65,70,6350
Cockspur Street,Electricity,kWh,2010-07-17,75,65,70,70,65,70,70,65,70,65,75,65,65,70,80,75,75,85,75,80,75,80,70,75,80,70,85,75,75,80,70,75,80,75,75,75,75,75,80,70,80,70,65,70,70,60,70,70,3500
Cockspur Street,Electricity,kWh,2010-07-18,65,65,65,65,70,65,70,65,65,70,70,65,65,70,80,70,75,80,80,70,80,70,75,80,75,75,85,75,75,80,80,75,75,80,80,80,75,75,75,80,75,70,75,70,65,65,65,70,3490
Cockspur Street,Electricity,kWh,2010-07-19,75,65,70,60,70,70,70,65,70,70,65,220,155,125,150,150,155,175,185,180,195,200,195,200,205,205,205,215,220,220,220,235,225,225,225,195,175,130,120,110,110,105,95,90,85,85,70,70,6875
Cockspur Street,Electricity,kWh,2010-07-20,75,70,65,70,80,65,70,65,70,70,70,190,125,125,145,165,165,185,185,205,200,205,205,210,200,215,215,210,215,230,220,225,215,220,210,195,175,130,120,110,120,105,95,95,90,80,70,75,6915
Cockspur Street,Electricity,kWh,2010-07-21,75,70,70,70,80,70,70,75,65,70,80,190,135,125,140,160,165,180,185,195,200,205,200,210,205,190,210,200,210,210,195,210,210,200,210,190,165,125,120,110,110,100,95,95,90,85,70,65,6755
Cockspur Street,Electricity,kWh,2010-07-22,70,70,70,65,70,70,65,65,60,75,70,160,140,115,140,145,160,170,180,185,195,190,195,195,190,205,185,195,200,200,195,200,200,195,195,175,160,130,115,115,110,100,100,90,95,75,75,70,6490
Cockspur Street,Electricity,kWh,2010-07-23,75,70,65,70,80,65,70,65,60,70,70,155,135,115,135,150,150,165,180,180,185,180,180,180,190,190,190,195,190,185,195,195,190,195,185,175,155,125,110,105,100,100,90,85,85,80,70,65,6295
Cockspur Street,Electricity,kWh,2010-07-24,70,65,70,60,70,60,70,65,60,65,60,70,60,70,70,75,70,75,70,70,70,75,70,70,75,80,75,80,75,75,75,75,80,70,80,70,85,75,75,70,75,70,65,60,70,60,70,65,3380
Cockspur Street,Electricity,kWh,2010-07-25,60,65,60,65,65,65,65,60,65,70,60,65,60,65,75,70,80,70,70,75,70,70,75,70,70,80,75,75,70,75,70,75,75,75,80,70,75,80,75,70,80,75,65,65,60,70,60,65,3345
